from,to,common_neighbors,jaccard_coefficient,adamic_adar,preferential_attachment,views_diff,views_ratio,age_diff,same_partner,same_mature,link,prediction,probability
1781,3581,0,0.0,0.0,351,7858,0.2579792256845837,911,1,1,0,1,0.59315264
706,2930,1,0.05,0.203252820503909,38,18079,0.0360437216742182,64,1,0,0,1,0.5769717
2323,6116,0,0.0,0.0,425,271078,0.0092685315809863,1122,0,0,0,1,0.7219467
1529,5850,0,0.0,0.0,208,2740,0.6519751047884349,1850,1,1,0,1,0.5166528
1513,4418,0,0.0,0.0,90,611412,0.0021314862628484,446,0,1,0,1,0.5013145
863,6926,0,0.0,0.0,250,10465,0.5390883065403859,1037,1,1,0,1,0.5402369
2129,2636,0,0.0,0.0,328,3079,0.9055608379596692,1521,1,1,0,1,0.5447044
70,4482,0,0.0,0.0,150,855137,0.0053099795045259,344,0,1,0,1,0.6098013
368,652,1,0.0138888888888888,0.152948702070391,340,3932948,0.0003136611371817,578,0,0,0,1,0.90373564
2212,4945,0,0.0,0.0,828,1136429,0.0175350476177302,27,0,1,0,1,0.84184647
713,3754,1,0.037037037037037,0.2330752717085092,160,33887,0.3966849451644994,957,1,1,0,1,0.75399154
2928,3940,0,0.0,0.0,186,516814,0.0003210955936399,1201,0,1,0,1,0.56820077
217,2444,0,0.0,0.0,234,385281,0.0197060754250354,211,0,1,0,1,0.65164745
736,3117,2,0.0625,0.4781592975975622,288,2415,0.2903320599470201,713,1,1,0,1,0.9522841
5446,5619,1,0.0256410256410256,0.152948702070391,300,17792,0.5994957680532911,457,1,0,0,1,0.68455046
1170,6420,0,0.0,0.0,184,63913,0.2855529969371069,471,0,1,0,1,0.5613949
4985,6136,0,0.0,0.0,2646,178495894,2.605034077655248e-05,951,0,0,0,1,0.994204
2809,5273,2,0.0714285714285714,0.3157611263467897,216,10338,0.5061622241329652,751,1,1,0,1,0.55433697
1185,2213,0,0.0,0.0,162,1295056,0.0008031806261414,514,0,1,0,1,0.6229334
2923,3448,0,0.0,0.0,258,328173,0.1086058393565785,1721,0,0,0,1,0.5313274
2061,5204,0,0.0,0.0,1242,303960,0.7234995374375398,370,1,1,0,1,0.7855518
1120,6564,0,0.0,0.0,405,1386,0.7667452036350106,1554,1,1,0,1,0.57556754
3198,6969,0,0.0,0.0,248,3069,0.5563746747614113,213,1,1,0,1,0.5640364
1425,6659,0,0.0,0.0,297,12631,0.6099857963317294,462,1,1,0,1,0.586067
